pid session measure value
21 1 paf 9.0
21 1 cog 9.0
21 1 alpha_lower 7.3
21 1 alpha_upper 11.1
21 1 l_alpha_lower 7.3
21 1 l_alpha_upper 9.0
21 1 u_alpha_lower 9.0
21 1 u_alpha_upper 11.1
21 1 theta_lower 3.6
21 1 theta_upper 5.6
21 1 beta_lower 14.6
21 1 beta_upper 22.2
21 2 paf 9.25
21 2 cog 9.25
21 2 alpha_lower 7.5
21 2 alpha_upper 11.4
21 2 l_alpha_lower 7.5
21 2 l_alpha_upper 9.25
21 2 u_alpha_lower 9.25
21 2 u_alpha_upper 11.4
21 2 theta_lower 3.7
21 2 theta_upper 5.7
21 2 beta_lower 15.0
21 2 beta_upper 22.9
